('student_no::', 393, ':::company_alloted::', 194, ':::index in pref list:::', 72, ':::summing:::', 6691)
('student_no::', 423, ':::company_alloted::', 194, ':::index in pref list:::', 47, ':::summing:::', 6738)
('student_no::', 913, ':::company_alloted::', 194, ':::index in pref list:::', 51, ':::summing:::', 6789)
('student_no::', 373, ':::company_alloted::', 194, ':::index in pref list:::', 42, ':::summing:::', 6831)
('student_no::', 689, ':::company_alloted::', 7, ':::index in pref list:::', 40, ':::summing:::', 6871)
('student_no::', 552, ':::company_alloted::', 7, ':::index in pref list:::', 44, ':::summing:::', 6915)
('student_no::', 299, ':::company_alloted::', 7, ':::index in pref list:::', 75, ':::summing:::', 6990)
('student_no::', 768, ':::company_alloted::', 7, ':::index in pref list:::', 47, ':::summing:::', 7037)
('student_no::', 512, ':::company_alloted::', 7, ':::index in pref list:::', 65, ':::summing:::', 7102)
('student_no::', 977, ':::company_alloted::', 12, ':::index in pref list:::', 77, ':::summing:::', 7179)
('student_no::', 394, ':::company_alloted::', 12, ':::index in pref list:::', 47, ':::summing:::', 7226)
('student_no::', 833, ':::company_alloted::', 12, ':::index in pref list:::', 70, ':::summing:::', 7296)
('student_no::', 629, ':::company_alloted::', 12, ':::index in pref list:::', 44, ':::summing:::', 7340)
('student_no::', 579, ':::company_alloted::', 12, ':::index in pref list:::', 51, ':::summing:::', 7391)
('student_no::', 555, ':::company_alloted::', 78, ':::index in pref list:::', 41, ':::summing:::', 7432)
('student_no::', 960, ':::company_alloted::', 78, ':::index in pref list:::', 54, ':::summing:::', 7486)
('student_no::', 15, ':::company_alloted::', 78, ':::index in pref list:::', 43, ':::summing:::', 7529)
('student_no::', 743, ':::company_alloted::', 78, ':::index in pref list:::', 67, ':::summing:::', 7596)
('student_no::', 557, ':::company_alloted::', 78, ':::index in pref list:::', 75, ':::summing:::', 7671)
('student_no::', 650, ':::company_alloted::', 82, ':::index in pref list:::', 73, ':::summing:::', 7744)
('student_no::', 817, ':::company_alloted::', 82, ':::index in pref list:::', 74, ':::summing:::', 7818)
('student_no::', 260, ':::company_alloted::', 82, ':::index in pref list:::', 63, ':::summing:::', 7881)
('student_no::', 302, ':::company_alloted::', 82, ':::index in pref list:::', 52, ':::summing:::', 7933)
('student_no::', 849, ':::company_alloted::', 82, ':::index in pref list:::', 60, ':::summing:::', 7993)
('student_no::', 679, ':::company_alloted::', 88, ':::index in pref list:::', 77, ':::summing:::', 8070)
('student_no::', 64, ':::company_alloted::', 88, ':::index in pref list:::', 76, ':::summing:::', 8146)
('student_no::', 55, ':::company_alloted::', 88, ':::index in pref list:::', 57, ':::summing:::', 8203)
('student_no::', 85, ':::company_alloted::', 88, ':::index in pref list:::', 47, ':::summing:::', 8250)
('student_no::', 454, ':::company_alloted::', 88, ':::index in pref list:::', 70, ':::summing:::', 8320)
