('student_no::', 762, ':::company_alloted::', 84, ':::index in pref list:::', 72, ':::summing:::', 10552)
('student_no::', 922, ':::company_alloted::', 84, ':::index in pref list:::', 2, ':::summing:::', 10554)
('student_no::', 744, ':::company_alloted::', 84, ':::index in pref list:::', 15, ':::summing:::', 10569)
('student_no::', 683, ':::company_alloted::', 84, ':::index in pref list:::', 4, ':::summing:::', 10573)
('student_no::', 395, ':::company_alloted::', 53, ':::index in pref list:::', 0, ':::summing:::', 10573)
('student_no::', 494, ':::company_alloted::', 53, ':::index in pref list:::', 100, ':::summing:::', 10673)
('student_no::', 770, ':::company_alloted::', 53, ':::index in pref list:::', 0, ':::summing:::', 10673)
('student_no::', 351, ':::company_alloted::', 53, ':::index in pref list:::', 111, ':::summing:::', 10784)
('student_no::', 616, ':::company_alloted::', 53, ':::index in pref list:::', 1, ':::summing:::', 10785)
('student_no::', 815, ':::company_alloted::', 74, ':::index in pref list:::', 135, ':::summing:::', 10920)
('student_no::', 960, ':::company_alloted::', 74, ':::index in pref list:::', 0, ':::summing:::', 10920)
('student_no::', 633, ':::company_alloted::', 74, ':::index in pref list:::', 0, ':::summing:::', 10920)
('student_no::', 957, ':::company_alloted::', 74, ':::index in pref list:::', 74, ':::summing:::', 10994)
('student_no::', 717, ':::company_alloted::', 74, ':::index in pref list:::', 186, ':::summing:::', 11180)
('student_no::', 111, ':::company_alloted::', 89, ':::index in pref list:::', 2, ':::summing:::', 11182)
('student_no::', 409, ':::company_alloted::', 89, ':::index in pref list:::', 0, ':::summing:::', 11182)
('student_no::', 699, ':::company_alloted::', 89, ':::index in pref list:::', 95, ':::summing:::', 11277)
('student_no::', 545, ':::company_alloted::', 89, ':::index in pref list:::', 40, ':::summing:::', 11317)
('student_no::', 707, ':::company_alloted::', 89, ':::index in pref list:::', 140, ':::summing:::', 11457)
('student_no::', 398, ':::company_alloted::', 20, ':::index in pref list:::', 113, ':::summing:::', 11570)
('student_no::', 610, ':::company_alloted::', 20, ':::index in pref list:::', 1, ':::summing:::', 11571)
('student_no::', 144, ':::company_alloted::', 20, ':::index in pref list:::', 189, ':::summing:::', 11760)
('student_no::', 300, ':::company_alloted::', 20, ':::index in pref list:::', 0, ':::summing:::', 11760)
('student_no::', 739, ':::company_alloted::', 20, ':::index in pref list:::', 175, ':::summing:::', 11935)
('student_no::', 210, ':::company_alloted::', 22, ':::index in pref list:::', 2, ':::summing:::', 11937)
('student_no::', 37, ':::company_alloted::', 22, ':::index in pref list:::', 81, ':::summing:::', 12018)
('student_no::', 715, ':::company_alloted::', 22, ':::index in pref list:::', 179, ':::summing:::', 12197)
('student_no::', 381, ':::company_alloted::', 22, ':::index in pref list:::', 98, ':::summing:::', 12295)
